,Line 1 Street Address,coordinates
800,4128 24TH ST San Francisco,"(37.7514501, -122.4348881)"
845,2233 IRVING ST San Francisco,"(37.7631408, -122.4821221)"
858,2475 WASHINGTON ST San Francisco,"(37.7914669, -122.4339204)"
862,337 W PORTAL AVE San Francisco,"(37.7373407, -122.4694389)"
873,4110 24TH ST San Francisco,"(37.7514043, -122.4345578)"
880,1121 GEARY BLVD San Francisco,"(37.7854262, -122.422314)"
897,700 25TH AVE San Francisco,"(37.7761436, -122.4841508)"
898,2325 OCEAN AVE San Francisco,"(37.7294308, -122.4688396)"
899,380 W PORTAL AVE C San Francisco,"(37.7370875, -122.4705637)"
914,2169 UNION ST San Francisco,"(37.796987, -122.4349051)"
929,977 VALENCIA ST San Francisco,"(37.7573387, -122.4209356)"
942,598 BOSWORTH ST San Francisco,"(37.7336681, -122.4338813)"
954,2394 31ST AVE San Francisco,"(37.7426705, -122.488589)"
965,2300 SUTTER ST San Francisco,"(37.7857312, -122.438541)"
968,1674 POST ST San Francisco,"(37.7858689, -122.4293137)"
976,1286 SANCHEZ ST San Francisco,"(37.7485909, -122.4296202)"
984,1734 FILLMORE ST San Francisco,"(37.7856985, -122.432957)"
996,1511 CLEMENT ST San Francisco,"(37.7823207, -122.4755264)"
1010,5300 GEARY BLVD San Francisco,"(37.7807124, -122.47645)"
1069,4614 CALIFORNIA ST San Francisco,"(37.78492079999999, -122.467113)"
1148,3060 19TH AVE San Francisco,"(37.7315434, -122.4745799)"
1165,6221 GEARY BLVD San Francisco,"(37.7796993, -122.4863865)"
1180,1162 B GORGAS AVE San Francisco,"(37.8023487, -122.450601)"
1186,1455 BUSH ST San Francisco,"(37.7883179, -122.4212298)"
1196,3115 GEARY BLVD San Francisco,"(37.7815754, -122.4524542)"
1199,526 SILVER AVE San Francisco,"(37.7284885, -122.4259175)"
1205,47 MAIDEN LN San Francisco,"(37.7881301, -122.4043196)"
1206,2030 DIVISADERO ST San Francisco,"(37.7886372, -122.4402692)"
1247,TOWER LEVEL A RADL San Francisco,"(None, None)"
1248,513 PARNASSUS AVE San Francisco,"(37.7630467, -122.4584652)"
1253,3555 CESAR CHAVEZ San Francisco,"(37.7477035, -122.420695)"
1270,1102 SANCHEZ ST San Francisco,"(37.7514026, -122.4298129)"
1358,2717 JUDAH ST San Francisco,"(37.7608545, -122.4912465)"
1380,324 AVILA ST San Francisco,"(37.8043521, -122.4408935)"
1381,350 SANSOME ST San Francisco,"(37.7938121, -122.400951)"
1403,2200 LEAVENWORTH ST San Francisco,"(37.8015094, -122.4175517)"
1411,1040 GEARY ST San Francisco,"(37.786052, -122.420566)"
1418,4322 GEARY BLVD San Francisco,"(37.7812532, -122.4658714)"
1430,1700 PIERCE ST San Francisco,"(37.7859284, -122.4364675)"
1444,3661 20TH ST A San Francisco,"(37.7582502, -122.4227096)"
1464,550 15TH ST San Francisco,"(37.7674338, -122.406222)"
1467,1800 31ST AVE San Francisco,"(37.7534634, -122.4891481)"
1470,77 VAN NESS AVE San Francisco,"(37.7760661, -122.4198517)"
1472,770 STOCKTON ST San Francisco,"(37.7930669, -122.4075079)"
1474,1330 28TH AVE San Francisco,"(37.7625346, -122.4864272)"
1503,325 SACRAMENTO ST San Francisco,"(37.7940384, -122.3994097)"
1509,3000 CALIFORNIA ST San Francisco,"(37.7878407, -122.4440076)"
1549,4104 24TH ST San Francisco,"(37.7514263, -122.4343499)"
1602,ST FRANCIS MEM HOSP San Francisco,"(37.7895482, -122.4166862)"
1631,324 LEAVENWORTH ST San Francisco,"(37.7841653, -122.4141503)"
1650,1044 TARAVAL ST San Francisco,"(37.74317569999999, -122.4776062)"
1685,1431 NORIEGA ST San Francisco,"(37.7539023, -122.4792105)"
1709,1359 PINE ST San Francisco,"(37.7896624, -122.4182839)"
1712,401 PARNASSUS AVE San Francisco,"(37.76356, -122.4568711)"
1715,1635 DIVISIDERO ST San Francisco,"(37.7845771, -122.4400777)"
1718,939 MARKET ST San Francisco,"(37.7828617, -122.4088517)"
1729,3239 SACRAMENTO ST San Francisco,"(37.78810259999999, -122.4462535)"
1754,982 MISSION ST San Francisco,"(37.7815871, -122.4085589)"
1758,1480 SUTTER ST San Francisco,"(37.7874353, -122.4247865)"
1789,55 FRANCISCO ST San Francisco,"(37.8053709, -122.4057333)"
1832,1930 MARKET ST San Francisco,"(37.7704651, -122.4256832)"
1860,2191 MARKET ST San Francisco,"(37.76578, -122.4306896)"
1885,301 MISSION ST San Francisco,"(37.790387, -122.3961664)"
